-20,-31
-21,-27
-19,-25
-27,-23
-17,-23
-15,-21
-13,-19
-11,-17
-9,-15
-7,-13
-6,-12
-4,-10
-2,-8
2,-4
4,-2
0,0
1,2
3,4
5,6
7,8
9,10
11,12
13,13
15,15
17,17
19,19
21,21
24,23
34,-27
36,-25
38,-23
40,-21
42,-19
44,-17
46,-15
48,-13
49,-12
51,-10
53,-8
55,-6
57,-4
59,-2
